Feature,Importance
dayoftheweek,0.12366397871431878
ordenador,0.11461830201936014
bienestar,0.10258184476740159
otrofactor,0.0960941615786156
Totaltime,0.06753958618999507
inhib_control,0.0490076029774837
covid_work,0.04610638995672008
z_performance,0.04432256219503729
sec_noise55_day,0.041177753040721035
Âµgm3,0.0392796557655139
no2gps_12h,0.037534773950460405
ID_Zenodo,0.03707483075276921
mean_congruent,0.03585331262321544
tmean_24h,0.03462658914751537
humi_24h,0.027469918872293594
age_yrs,0.026727953573295368
pm25bcn,0.025589056345931033
sec_noise65_day,0.022883537135649418
covid_motor,0.016312070037817056
smoke,0.011536120355885948
